Project,Project ID,Area,Project Page,Image Authorization,Image Use Note,Floorplan Records,Published Floorplan Files,Floorplan Public Folder,Floorplan Sample Link,Compliance Status,Lead Intake Form,Generated
NORA House,nora-house,Downtown / NORA,https://wpbnewconstruction.com/projects/nora-house/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,65,64,https://wpbnewconstruction.com/projects/nora-house/docs/floorplans/,https://norahouse.com/floorplan/residence-01/,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Olara,olara,North Flagler,https://wpbnewconstruction.com/projects/olara/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,57,28,https://wpbnewconstruction.com/projects/olara/docs/floorplans/,https://wpbnewconstruction.com/projects/olara/docs/olara-floorplans-all-march-2026.pdf,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Portofino South / Flagler Yacht Club Buyout Watch,portofino-flagler-yacht-club,South Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/portofino-flagler-yacht-club/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Related Ross Fern Street / South Dixie Condo,related-ross-fern-street,Downtown,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/related-ross-fern-street/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Rybovich Marina Redevelopment,rybovich-marina,North Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/rybovich-marina/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Shorecrest,shorecrest,North Flagler,https://wpbnewconstruction.com/projects/shorecrest/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,9,4,https://wpbnewconstruction.com/projects/shorecrest/docs/floorplans/,https://wpbnewconstruction.com/projects/shorecrest/docs/floorplans/1153-0303-floorplan--7aa02b9e.pdf,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
South Flagler House North Tower,south-flagler-house-north,South Flagler,https://wpbnewconstruction.com/projects/south-flagler-house/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,3,3,https://wpbnewconstruction.com/projects/south-flagler-house/docs/floorplans/shared/,https://wpbnewconstruction.com/projects/south-flagler-house/docs/floorplans/shared/site-plan-floors-5-9--7e6bd746.jpg,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
South Flagler House South Tower,south-flagler-house-south,South Flagler,https://wpbnewconstruction.com/projects/south-flagler-house/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,3,3,https://wpbnewconstruction.com/projects/south-flagler-house/docs/floorplans/shared/,https://wpbnewconstruction.com/projects/south-flagler-house/docs/floorplans/shared/site-plan-floors-5-9--7e6bd746.jpg,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
The Berkeley Palm Beach,berkeley,Downtown,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,9,8,https://wpbnewconstruction.com/projects/berkeley/docs/floorplans/,https://wpbnewconstruction.com/projects/berkeley/docs/floorplans/penthouse-floorplan-template--a68d7efe.jpg,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
"The Ritz-Carlton Residences, West Palm Beach",ritz-carlton-wpb,North Flagler,https://wpbnewconstruction.com/projects/ritz-carlton-wpb/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,28,12,https://wpbnewconstruction.com/projects/ritz-carlton-wpb/docs/floorplans/,https://www.flipsnack.com/relatedgroup/ritzwpb-floorplans/full-view.html,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
